,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,DISK SIZE,Price
224,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,512,43490.0
225,Others,Windows,DDR4,8,Intel,Others,1,14.0,256,46990.0
226,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
227,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
228,Others,Windows,DDR4,8,AMD,AMD,2,15.6,512,40990.0
229,APPLE,Mac,DDR4,8,Others,Others,1,14.0,256,94990.0
230,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
231,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
232,MSI,Windows,DDR4,16,Intel,Others,2,15.6,1024,114990.0
233,APPLE,Mac,,8,Others,Others,1,,256,121990.0
234,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,1024,37990.0
235,ASUS,Windows,DDR4,8,Intel,Intel,1,,256,27990.0
236,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,194990.0
237,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,512,44990.0
238,DELL,Windows,DDR4,8,AMD,AMD,1,,512,40190.0
239,Lenovo,Windows,DDR4,8,AMD,Others,1,15.6,512,34990.0
240,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
241,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
242,ASUS,Windows,Others,16,Intel,Others,1,14.0,1024,94990.0
243,Lenovo,Windows,DDR4,8,Intel,Others,1,15.6,512,69990.0
244,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,512,59990.0
245,ASUS,Windows,DDR4,16,Intel,Others,1,,512,66990.0
246,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
247,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
248,ASUS,Windows,Others,16,Intel,Others,1,,512,104990.0
249,DELL,Windows,DDR4,8,Intel,Others,1,14.0,256,54900.0
250,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
251,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
252,Lenovo,Windows,DDR4,16,AMD,Others,2,15.6,1024,136990.0
253,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,512,48184.0
254,ASUS,Windows,DDR4,16,Intel,Others,1,,512,74990.0
255,acer,Windows,DDR4,8,Intel,Others,1,15.6,512,60990.0
256,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
257,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
258,HP,Windows,DDR4,8,AMD,AMD,1,14.0,512,49990.0
259,DELL,Windows,DDR4,8,Intel,NVIDIA,1,15.6,512,67990.0
260,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,194990.0
